Classifier,Accuracy,Precision,Recall,F1 Score
GaussianNB,0.650853889943074,0.6705127062615162,0.650853889943074,0.5745821853286037
Decision Tree,0.9430740037950665,0.9428982432816164,0.9430740037950665,0.9427194036476747
Logistic Regression,0.7571157495256167,0.7559998384313104,0.7571157495256167,0.7563448882594709
KNN,0.9259962049335864,0.9291478994891628,0.9259962049335864,0.9253773773409367
SVC,0.9449715370018975,0.9457608200067729,0.9449715370018975,0.9446430324594701
