Metric,Value,Classifier
accuracy,0.9430740037950665,decisionTree2
accuracy,0.9259962049335864,KNN2
accuracy,0.9449715370018975,svc2
precision,0.9428982432816164,decisionTree2
precision,0.9291478994891628,KNN2
precision,0.9457608200067729,svc2
f1_score,0.9427194036476747,decisionTree2
f1_score,0.9253773773409367,KNN2
f1_score,0.9446430324594701,svc2
recall,0.9430740037950665,decisionTree2
recall,0.9259962049335864,KNN2
recall,0.9449715370018975,svc2
